Cycle_ID,Discharge_Capacity,Charge_Capacity,Coulombic_Efficiency
1,2081.65,1668.55,124.75802343352014
2,2082.97,2084.35,99.93379230935304
3,2084.21,2084.7400000000002,99.97457716549785
4,2085.16,2085.93,99.96308600959763
5,2085.69,2086.5,99.96117900790799
6,2085.83,2087.06,99.94106542217281
7,2085.81,2086.96,99.94489592517345
8,2086.0,2087.38,99.93388841514242
9,2085.74,2086.89,99.94489407683203
10,2085.64,2086.9700000000003,99.93627124491485
11,2085.18,2086.45,99.93913105993434
12,2085.05,2086.3,99.94008531850645
13,2084.65,2085.92,99.9391155940784
14,2084.36,2085.65,99.93814877855824
15,2084.05,2085.17,99.94628735306954
16,2083.41,2084.5499999999997,99.94531193782832
17,2083.26,2084.4100000000003,99.94482851262467
18,2082.67,2083.98,99.93713951189551
19,2082.39,2083.53,99.9452851650804
20,2081.71,2082.98,99.93902965943025
21,2081.55,2082.61,99.9491023283284
22,2081.23,2082.28,99.94957450486966
23,2080.85,2081.9,99.94956530092703
24,2080.61,2081.65,99.95003963202268
25,2080.44,2081.61,99.94379350598815
26,2080.29,2081.46,99.94378945547837
27,2076.28,2077.62,99.93550312376664
28,2075.69,2076.79,99.94703364326678
29,2073.62,2074.7599999999998,99.94505388575064
30,2073.62,2074.73,99.94649906252862
31,2073.59,2074.69,99.94698003075159
32,2074.23,2075.46,99.94073602960307
33,2074.24,2075.15,99.95614774835553
34,2074.2,2075.14,99.95470185144134
35,2074.47,2075.64,99.9436318436723
36,2074.23,2075.34,99.94651478793836
37,2074.21,2075.33,99.94603267914019
38,2072.15,2073.08,99.95513921315145
39,2072.71,2073.62,99.95611539240555
40,2072.76,2073.87,99.94647687656412
41,2073.0,2073.98,99.95274785677779
42,2072.54,2073.51,99.95321942021016
43,2072.36,2073.3,99.95466165050885
44,2072.07,2072.98,99.95610184372256
45,2072.0,2072.96,99.95368941031182
46,2071.94,2072.74,99.96140374576649
47,2069.63,2070.42,99.96184349069271
48,2069.67,2070.76,99.94736232108018
49,2069.69,2070.67,99.95267232345087
50,2069.82,2070.7,99.95750229391028
