Cycle ID,Status,Peak No,Amplitude,Mean,Sigma,Area
1,Charge,1,5103.57717012478,3.522707298382892,-0.012602049265470122,-161.21512832213233
1,Charge,2,7463.77028771152,3.6709587951945055,0.029430105690573895,550.6048348560207
1,Discharge,1,-3297.4364476838177,3.4018397361348693,-0.024918329700083622,205.96114426823442
1,Discharge,2,-6738.41490738066,3.55855102963716,0.04378674932782084,-739.5889052407101
2,Charge,1,5103.57717012478,3.522707298382892,-0.012602049265470122,-161.21512832213233
2,Charge,2,7463.77028771152,3.6709587951945055,0.029430105690573895,550.6048348560207
2,Discharge,1,-3297.4364476838177,3.4018397361348693,-0.024918329700083622,205.96114426823442
2,Discharge,2,-6738.41490738066,3.55855102963716,0.04378674932782084,-739.5889052407101
3,Charge,1,5103.57717012478,3.522707298382892,-0.012602049265470122,-161.21512832213233
3,Charge,2,7463.77028771152,3.6709587951945055,0.029430105690573895,550.6048348560207
3,Discharge,1,-3297.4364476838177,3.4018397361348693,-0.024918329700083622,205.96114426823442
3,Discharge,2,-6738.41490738066,3.55855102963716,0.04378674932782084,-739.5889052407101
4,Charge,1,5103.57717012478,3.522707298382892,-0.012602049265470122,-161.21512832213233
4,Charge,2,7463.77028771152,3.6709587951945055,0.029430105690573895,550.6048348560207
4,Discharge,1,-3297.4364476838177,3.4018397361348693,-0.024918329700083622,205.96114426823442
4,Discharge,2,-6738.41490738066,3.55855102963716,0.04378674932782084,-739.5889052407101
5,Charge,1,5103.57717012478,3.522707298382892,-0.012602049265470122,-161.21512832213233
5,Charge,2,7463.77028771152,3.6709587951945055,0.029430105690573895,550.6048348560207
5,Discharge,1,-3297.4364476838177,3.4018397361348693,-0.024918329700083622,205.96114426823442
5,Discharge,2,-6738.41490738066,3.55855102963716,0.04378674932782084,-739.5889052407101
